epoch,MAE,MSE
1,771.6584191894531,953664.01625
2,630.2396072387695,693901.170625
3,517.747233581543,449423.8153125
4,417.4274456787109,281088.7684375
5,283.20416137695315,155913.99140625
6,184.6048617553711,79255.1806640625
7,177.23174705505372,76978.01625
8,177.50702133178712,77588.7727734375
9,175.0283172607422,75269.7239453125
10,172.29457801818847,74270.7883984375
11,171.04072731018067,73436.93638671875
12,172.3591641998291,74980.330859375
13,165.2692449951172,69834.36689453125
14,172.56086959838868,75087.3073828125
15,166.06463424682616,69406.5939453125
16,165.1807012939453,67958.78369140625
17,163.4492042541504,66270.2712109375
18,156.36411933898927,62764.52447265625
19,163.85324913024903,66613.28876953125
20,161.20039306640626,64688.8640625
21,158.49635040283204,65501.25890625
22,155.4221806335449,62550.0854296875
23,155.3299723815918,61511.93923828125
24,157.73204414367675,63930.32900390625
25,156.19473182678223,62718.478203125
26,155.0344031524658,61723.75705078125
27,162.48313598632814,67076.39453125
28,156.89287925720214,62110.83373046875
29,159.76024452209472,65247.6564453125
30,153.25165245056152,61064.28390625
31,153.34418685913087,60942.76205078125
32,157.97105278015135,64767.2461328125
33,152.9765810394287,60842.78271484375
34,161.5075830078125,66585.769140625
35,154.3955477142334,61614.06150390625
36,148.6261728668213,58505.24875
37,153.55159896850586,62159.30478515625
38,155.52696434020996,62480.0925390625
39,152.43671829223632,60524.95576171875
40,156.319457321167,63159.2942578125
41,148.61975799560548,58446.8110546875
42,152.49616424560546,60615.75263671875
43,151.69746871948243,60038.93939453125
44,151.9190128326416,61518.1493359375
45,152.3048087310791,61213.261796875
46,154.46421730041504,61771.632265625
47,147.07975410461427,56904.09705078125
48,156.4132950592041,64183.44623046875
49,147.2495915222168,58393.12044921875
50,148.28342048645018,58888.34865234375
51,148.5052954864502,58933.49150390625
52,152.3514434814453,61738.8715625
53,151.75439842224122,60488.47158203125
54,149.19822677612305,58910.5457421875
55,150.02487907409667,60686.0952734375
56,146.58223960876464,57369.80572265625
57,152.36717124938966,62011.75314453125
58,145.96331886291503,55978.19470703125
59,152.19034446716307,62089.11482421875
60,147.08189811706544,59953.0253515625
61,150.90751876831055,61217.705078125
62,147.82455253601074,58447.72384765625
63,157.03666702270507,64954.7151171875
64,153.21655128479003,60434.52390625
65,152.22007820129394,61683.8516796875
66,149.59622901916504,59402.44671875
67,150.04469459533692,60002.43951171875
68,150.5334203338623,60235.983125
69,147.12974990844725,57125.815390625
70,149.08149772644043,58086.4984375
71,152.9005339050293,64614.273125
72,151.46739700317383,61938.16390625
73,151.62234786987304,61682.27482421875
74,144.60672050476074,56399.110859375
75,150.45815223693847,62082.27283203125
76,148.89220344543457,59741.42255859375
77,153.3413247680664,62135.5143359375
78,150.54890495300293,60581.59396484375
79,147.15695564270018,57485.11857421875
80,148.94430534362792,58584.2958203125
81,147.14409156799317,57564.063671875
82,148.39531196594237,59257.60537109375
83,151.0194107055664,60061.6448828125
84,148.855326461792,59815.7767578125
85,151.20261100769042,61961.46689453125
86,151.3630541229248,61087.8139453125
87,150.69832984924315,60262.0503125
88,151.2569125366211,61963.1959375
89,149.0896955871582,59743.61603515625
90,143.01296882629396,55745.83908203125
91,149.87432502746583,59937.32376953125
92,149.96729598999025,60701.08689453125
93,151.9286866760254,62933.823359375
94,150.25695762634277,59785.55595703125
95,149.80027404785156,60450.87552734375
96,152.66943641662598,62302.728203125
97,148.88796272277833,58658.7621484375
98,147.41873741149902,59270.702421875
99,145.96380516052247,58701.471171875
100,148.04256675720214,58640.78728515625
101,150.4462567138672,60018.3271875
102,146.78956428527832,58595.0166015625
103,150.31701766967774,60719.69666015625
104,148.3254172515869,59206.321875
105,151.38338119506835,61273.741015625
106,149.9009896850586,61044.91318359375
107,148.9923361968994,59550.730390625
108,148.63549102783202,59618.6905859375
109,148.2513191986084,59074.1059765625
110,147.35691162109376,58958.3491796875
111,148.36495994567872,58525.49439453125
112,147.15478507995604,58826.8164453125
113,149.32416381835938,59144.7865625
114,148.33229331970216,59457.75826171875
115,145.23926765441894,57202.4491796875
116,146.65035804748535,59584.41564453125
117,146.95806037902832,59899.15095703125
118,153.1994814300537,63063.28125
119,149.8046965789795,60990.5687890625
120,146.89002380371093,58074.33990234375
121,146.46513298034668,58736.3452734375
122,150.97384666442872,61241.2340234375
123,145.0495832824707,58145.0764453125
124,147.31957969665527,58492.5830859375
125,146.80304176330566,57511.6930859375
126,141.49996749877928,54106.06470703125
127,153.4668349456787,62645.63712890625
128,146.5203858947754,58509.3071484375
129,149.56003555297852,60696.80744140625
130,148.52412399291993,59524.41923828125
131,151.00759101867675,61588.37505859375
132,148.08509994506835,59442.74359375
133,147.63373542785644,59422.31529296875
134,144.68765785217286,57462.62357421875
135,150.83699020385743,61429.9036328125
136,145.23773933410644,57108.4403515625
137,149.08791961669922,59958.76857421875
138,148.7692148590088,61434.37248046875
139,146.7766912841797,58169.7133203125
140,151.06620964050293,61705.76078125
141,145.49475898742676,58528.75734375
142,146.72848487854003,57899.0612890625
143,146.79199325561524,59411.05033203125
144,151.84283897399902,62246.64328125
145,148.2066884613037,60545.81177734375
146,146.49279724121095,57633.09685546875
147,142.33685165405274,55777.10216796875
148,148.46254066467284,60111.4976953125
149,143.39969329833986,55502.40970703125
150,148.06998695373534,58001.83255859375
151,145.73837463378905,57517.753125
152,146.4194627380371,58428.4856640625
153,145.76751739501952,58971.96875
154,147.9562989807129,60157.0803515625
155,144.5694093322754,56770.266953125
156,151.98485733032226,61173.53060546875
157,148.86328796386718,59794.3576171875
