epoch,MAE,MSE
1,782.1810635375977,977428.5025
2,758.7140960693359,930934.8784375
3,747.9801525878906,906904.1025
4,703.8657305908204,843581.51
5,700.0416027832031,831013.489375
6,658.3416198730469,767223.3528125
7,650.9807751464843,755766.0984375
8,627.2200119018555,715999.2659375
9,615.6868740844726,693099.8959375
10,585.3371765136719,644760.7325
11,574.7884521484375,623367.9153125
12,561.0991732788086,602733.398125
13,554.494341430664,587237.3828125
14,527.5871765136719,544356.6859375
15,524.2095867919921,535006.6928125
16,496.6518167114258,502613.42640625
17,495.7546667480469,495423.8
18,462.1170147705078,444160.39421875
19,447.4118185424805,419767.6603125
20,450.1264404296875,424104.065625
21,431.1296832275391,392043.00078125
22,409.2412576293945,370579.6996875
23,412.8257122802734,368681.2353125
24,403.8082368469238,352249.915625
25,392.41886657714844,337606.3828125
26,384.2570181274414,329012.9459375
27,382.27468017578127,323229.5190625
28,360.34728515625,293503.0440625
29,361.2513639831543,294938.670078125
30,354.62546310424807,283730.937421875
31,340.4826760864258,270074.43859375
32,328.4369584655762,252861.78921875
33,324.5054034423828,248689.081640625
34,327.0716548156738,246921.3240625
35,319.8615139770508,234936.916171875
36,302.8268411254883,219176.1024609375
37,308.77225372314456,226841.56015625
38,288.8056800842285,202538.43875
39,299.76697494506834,216845.50671875
40,278.9978610229492,191895.8513671875
41,280.19271270751955,190917.450546875
42,276.17587127685545,184901.93640625
43,272.4910902404785,182989.101171875
44,265.1005590820312,174131.747265625
45,253.95409133911133,160783.6041015625
46,255.11408584594727,160570.191640625
47,260.1018473815918,167562.3408203125
48,240.01490509033204,148618.55
49,241.2787777709961,148111.2177734375
50,240.30929412841797,147763.1395703125
51,228.9838675689697,136787.4217578125
52,232.5795993041992,138684.3494140625
53,239.94368362426758,148576.555078125
54,228.08347145080566,134892.3294140625
55,220.66318084716798,127001.700625
56,222.77321411132812,127963.7060546875
57,220.32309112548828,125155.8154296875
58,211.7042911529541,117964.28765625
59,210.22052612304688,116004.42546875
60,205.96892936706544,113612.9150390625
61,204.70244720458984,110865.70671875
62,198.15557662963866,104275.21376953126
63,198.46263275146484,103028.4301953125
64,203.1160341644287,106762.5883203125
65,193.8052540588379,101533.90328125
66,185.16175483703614,91429.0583203125
67,192.38189811706542,97800.42625
68,185.21392440795898,93194.9658984375
69,185.40178909301758,93899.90787109375
70,181.06948806762696,88615.99109375
71,179.0486149597168,85599.5846484375
72,168.53231727600098,79507.3785546875
73,166.25313438415526,75340.987578125
74,167.7803399658203,78350.56830078125
75,167.79188911437987,76275.9017578125
76,157.7498342895508,67848.22965820313
77,160.40402465820313,70093.07861328125
78,162.63675521850587,71396.09686523437
79,155.2988591003418,63820.4117578125
80,161.1094543457031,70523.25962890625
81,152.2105963897705,63732.75681640625
82,150.04227882385254,60787.22470703125
83,159.19194709777832,70997.5368359375
84,151.97038497924805,63670.52322265625
85,145.41688690185546,58162.173359375
86,140.9758223724365,53766.92712890625
87,133.68009078979492,49827.68950195312
88,145.9239757537842,59612.16333984375
89,134.89256546020508,50118.98276367188
90,133.3358925628662,48219.966484375
91,130.5544486618042,47316.64150390625
92,130.6624793243408,46732.56395507813
93,135.85348678588866,53037.19923828125
94,126.19996620178223,44308.261953125
95,122.46513076782226,42008.26278320313
96,124.60960411071777,41438.057685546875
97,123.75667182922363,43054.0291796875
98,123.39024063110351,43335.648857421875
99,120.88706924438476,41843.094208984374
100,118.06427032470702,37858.24755859375
101,119.04720973968506,38806.314423828124
102,117.82578323364258,37457.913544921874
103,117.99577919006347,39336.76306640625
104,116.79642066955566,37303.122734375
105,122.06939834594726,41304.9478515625
106,120.90898063659668,40047.13418945312
107,115.54140632629395,36638.24977539063
108,113.29254741668701,34411.22013671875
109,111.00294197082519,33453.31928710938
110,107.91213523864747,31709.41970703125
111,110.22861339569091,34338.90228027344
112,109.91965965270997,33769.164765625
113,109.12731872558594,32586.756923828125
114,113.68405853271484,36557.49427734375
115,105.15870216369629,30652.67673828125
116,106.76801307678222,30334.64490234375
117,104.60443672180176,28871.45888671875
118,101.93126091003418,27453.088095703126
119,109.53598243713378,34349.19170898438
120,105.44394638061523,29466.44271484375
121,99.19349517822266,26484.927109375
122,102.54427082061767,28452.904912109374
123,100.10735130310059,26283.09595703125
124,99.5185011291504,26046.791328125
125,101.41351409912109,26133.591528320314
126,101.55481391906739,27688.80029296875
127,101.61917823791504,27745.525859375
128,104.58108139038086,28798.040078125
129,99.33287399291993,25944.20998046875
130,96.95714347839356,23976.257094726563
131,95.1940319442749,22830.211396484374
132,98.42560474395752,25463.3046484375
133,97.39663650512695,24074.571884765624
134,101.9077766418457,28148.722822265627
135,94.77537368774414,23028.19772949219
136,99.37636493682861,25686.74595703125
137,96.70230407714844,23849.5458984375
138,95.0820544052124,23073.242919921875
139,97.55456466674805,24240.318076171876
140,97.72641063690186,25234.306962890623
141,98.71623580932618,25316.582119140625
142,98.33548454284669,24946.87319824219
143,98.9112621307373,26988.853134765624
144,92.59230419158935,21014.662568359374
145,91.76826026916504,21099.67365234375
146,92.99638160705567,20563.72189453125
147,96.2781436920166,23424.94822265625
148,97.36472351074218,25412.95330078125
149,95.89297706604003,24362.33501953125
150,94.54301319122314,22491.12481933594
151,95.34665607452392,23270.141806640626
152,93.46526100158691,21655.376806640626
153,94.51918422698975,22302.0055078125
154,91.49578689575195,21192.849248046874
155,89.74042377471923,19227.73287109375
156,93.80494575500488,21099.631474609374
157,95.14410507202149,22705.038271484376
158,93.337177734375,20011.76169921875
159,97.49763370513917,23926.3209765625
160,93.77258949279785,21558.449267578126
161,92.27778099060059,20400.340361328126
162,94.44723281860351,22523.208076171875
163,94.25501007080078,22354.85455078125
164,92.21486869812011,20264.026333007812
165,93.93893253326416,21589.87857421875
166,92.28990573883057,20406.8908203125
167,94.43859329223633,21602.38416015625
168,93.65178359985352,21919.868896484375
169,94.35619453430176,21836.963837890624
170,94.08184032440185,20866.920498046875
171,92.97687454223633,21090.901357421873
172,92.46679164886474,20210.37357421875
173,93.84721588134765,20351.083994140627
174,90.67494548797607,19693.953330078126
175,92.57003250122071,21136.84822265625
176,91.26359851837158,20690.396865234376
177,89.65688961029053,19054.80275390625
178,91.210615234375,20627.01814453125
179,92.8112405014038,21124.35282714844
